Exact_entropy,Clifford_entropy,Clifford_cdf_entropy,Clifford_cdf_parallel_interpolation_entropy,Clifford_cdf_parallel_entropy,Distinct Count,Total Len,Table Size,resolution,interth,interspan
5.065640092054190191106499696616,4.861105156876817545708036050200,4.911961172892654658994615601841,0.051271698260306662608964956007,0.051105000493230128000288203793,5239,112167,16384,2147483647,10,4 
5.004787064500511029052631783998,4.869114731891955649700776120881,4.620621865715358822512826009188,0.051014804627095462763453070920,0.048970584414995264876946379218,4544,98434,16384,2147483647,10,4 
5.003866881548542977498073014431,5.342353525663278368540431984002,4.498438980768963091350087779574,0.051270977306039584864283398247,0.050438516119206903975946687524,4155,81193,16384,2147483647,10,4 
5.004477111377853226770184846828,5.610594241425067352224687056150,4.413128448197666919838866306236,0.050758044784884735756147478014,0.049597286692140765684833070281,4796,93280,16384,2147483647,10,4 
